data_collection_year,geo_level_1,geo_level_2,geo_level_3,geo_level_4,geo_level_5,geo_level_6,geo_level_7,water_point_id,num_families_in_community,families_with_access_to_improved_water,families_without_access_to_improved_water,water_point_type,age_since_original_construction,risk_based_on_age,risk_based_on_current_condition,level_of_service,level_of_priority_to_repair_or_replace,level_of_service_score,alert,components,recommended_activity,remaining_lifespan_of_spring_protection,remaining_lifespan_of_taps,remaining_lifespan_of_well,remaining_lifespan_of_pump,remaining_lifespan_of_apron,state_of_spring_protection,state_of_taps,state_of_well,state_of_pump,state_of_apron,overall_state_of_water_point,water_point_improved,source_protected,number_of_users_meets_govt_standard,adequate_water_quality,adequate_water_quantity,out_of_service_one_day_or_less_in_past_month,water_available_from_point_on_day_of_visit,water_point_in_good_overall_condition,presense_of_spring_protection,year_spring_protection_constructed_or_reconstructed,presense_of_tap,year_taps_constructed_or_reconstructed,presense_of_well,year_well_constructed_or_reconstructed,presense_of_pump,year_pump_constructed_or_reconstructed,presense_of_apron,year_apron_constructed_or_reconstructed,days_out_of_service_in_last_year
2017,Uganda ,Kamwenge,Kibale,Biguli,Biguli,Biguli,, ,30,25,5,Protected Deep Borehole,1996,Medium Risk,High Risk,Inadequate Level of Service,High Priority,2,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,-1,7,17, , ,2,2,2,3,1,1,0,0,0,0,0,0, , , , ,1,1996,1,2014,1,2014,12
2017,Uganda ,Kamwenge,Kibale,Biguli,Kampala B,Ibuuga,, ,200,30,170,Protected Deep Borehole,2004,Medium Risk,High Risk,Inadequate Level of Service,High Priority,1,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,7,-3,7, , ,3,3,2,3,1,0,0,0,0,0,0,0, , , , ,1,2004,1,2004,1,2004,40
2017,Uganda ,Kamwenge,Kibale,Biguli,Kampala B,Kakindo,,4463,138,60,78,Protected Deep Borehole,2013,Low Risk,Low Risk,Basic Level of Service,Medium Priority,5,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,16,6,16, , ,1,1,2,1,1,1,1,0,0,0,1,1, , , , ,1,2013,1,2013,1,2013,4
2017,Uganda ,Kamwenge,Kibale,Biguli,Kampala B,Kampala,,5329,140,100,40,Protected Deep Borehole,2014,Low Risk,Medium Risk,Basic Level of Service,Medium Priority,3,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,2,2,2,2,1,1,0,0,0,0,1,0, , , , ,1,2014,1,2014,1,2014,6
2017,Uganda ,Kamwenge,Kibale,Biguli,Kampala B,Kampala,, ,140,100,40,Protected Deep Borehole,2011,Medium Risk,Medium Risk,Basic Level of Service,Medium Priority,3,Consider Replacing Aging Components,"Pump,  ",Further Technical Diagnostic Needed , , ,14,4,14, , ,2,2,2,2,1,1,0,0,0,0,1,0, , , , ,1,2011,1,2011,1,2011,75
2017,Uganda ,Kamwenge,Kibale,Biguli,Malere,Malere,,kabesekire borehole,510,210,300,Protected Deep Borehole,2002,High Risk,High Risk,Basic Level of Service,High Priority,3,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,5,-5,5, , ,3,3,2,3,1,1,0,0,1,0,0,0, , , , ,1,2002,1,2002,1,2002,133225
2017,Uganda ,Kamwenge,Kibale,Biguli,Kampala B,Munyuma,,7583,200,200, ,Protected Deep Borehole,2014,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,1,1,2,1,1,1,0,0,1,1,1,1, , , , ,1,2014,1,2014,1,2014,0
2017,Uganda ,Kamwenge,Kibale,Biguli,Kampala B,Munyuma,, ,50,20,30,Protected Deep Borehole,2014,Low Risk,Medium Risk,Basic Level of Service,Medium Priority,3,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,2,2,2,2,1,1,0,0,0,0,1,0, , , , ,1,2014,1,2014,1,2014,14
2017,Uganda ,Kamwenge,Kibale,Biguli,Biguli,Rwebishahi,, ,100,90,10,Protected Deep Borehole,2009,Low Risk,High Risk,Inadequate Level of Service,High Priority,2,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,12,8,18, , ,3,3,3,3,1,1,0,0,0,0,0,0, , , , ,1,2009,1,2015,1,2015,365
2017,Uganda ,Kamwenge,Kibale,Bihanga,Kabingo,Buteraniro,, ,52,50,20,Protected Deep Borehole,2014,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,6,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,1,1,1,1,1,1,0,1,0,1,1,1, , , , ,1,2014,1,2014,1,2014,0
2017,Uganda ,Kamwenge,Kibale,Bihanga,Bihanga,Kanara I,, ,120,40,80,Protected Deep Borehole,2004,Low Risk,Medium Risk,Basic Level of Service,Medium Priority,4,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,7,7,17, , ,2,2,2,2,1,1,1,0,0,0,1,0, , , , ,1,2004,1,2014,1,2014,40
2017,Uganda ,Kamwenge,Kibale,Bihanga,Bihanga,Kanara I,, ,150,60,90,Protected Deep Borehole,2013,Low Risk,High Risk,Basic Level of Service,High Priority,3,Major Repairs or Replace System,,Further Technical Diagnostic Needed, , ,16,6,16, , ,3,3,2,3,1,1,1,0,0,0,0,0, , , , ,1,2013,1,2013,1,2013,60
2017,Uganda ,Kamwenge,Kibale,Bihanga,Bihanga,Kanyonza Ii,, ,47,45,2,Protected Deep Borehole,2016,Low Risk,Low Risk,Basic Level of Service,Medium Priority,5,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,19,9,19, , ,1,1,1,1,1,1,0,0,0,1,1,1, , , , ,1,2016,1,2016,1,2016,0
2017,Uganda ,Kamwenge,Kibale,Bihanga,Kaberebere-Kijungu,Kashozi 1,, ,400,380,20,Protected Deep Borehole,2014,Low Risk,Low Risk,Basic Level of Service,Medium Priority,5,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,17,7,17, , ,1,1,1,1,1,1,0,0,0,1,1,1, , , , ,1,2014,1,2014,1,2014,0
2017,Uganda ,Kamwenge,Kibale,Bihanga,Kabingo,Kitashenya,,8380,50,40,10,Protected Deep Borehole,2015,Low Risk,Low Risk,Basic Level of Service,Medium Priority,4,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,18,8,18, , ,1,1,2,1,1,0,0,0,0,1,1,1, , , , ,1,2015,1,2015,1,2015,0
2017,Uganda ,Kamwenge,Kibale,Bihanga,Kaberebere-Kijungu,Kitonzi,, ,150,140,10,Protected Deep Borehole,2013,Low Risk,Low Risk,Intermediate Level of Service,Low Priority,7,Perform Routine Preventative Maintenance,,Maintain O&M and Routine Monitoring, , ,16,6,16, , ,1,1,2,1,1,1,1,1,0,1,1,1, , , , ,1,2013,1,2013,1,2013,0
